STATION,NAME,DATE,TMAX
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-01,46
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-02,55
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-03,56
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-04,57
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-05,53
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-06,39
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-07,38
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-08,51
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-09,37
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-10,25
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-11,30
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-12,33
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-13,34
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-14,40
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-15,36
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-16,24
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-17,19
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-18,9
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-19,13
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-20,2
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-21,-11
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-22,41
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-23,45
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-24,48
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-25,49
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-26,53
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-27,55
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-28,42
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-29,33
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-30,35
USW00024143,"GREAT FALLS AIRPORT, MT US",1989-12-31,42
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-01,39
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-02,34
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-03,33
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-04,37
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-05,44
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-06,49
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-07,51
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-08,47
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-09,58
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-10,54
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-11,32
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-12,50
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-13,51
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-14,51
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-15,44
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-16,29
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-17,23
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-18,37
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-19,38
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-01-20,41
